tri_facility_id,Facility,City/State,Total releases (lbs),Fugitive air (lbs),Stack air (lbs),Water (lbs),Primary Activity
04976SDWRRRFD3U,Sd Warren Co,"Skowhegan, Maine",18,0,7,1,Paper (except Newsprint) Mills
05201VRDYB401GA,Energizer Battery Manufacturing Inc,"Bennington, Vermont",64,0,0,0,Primary Battery Manufacturing
05764FRSTL212ID,First Light Technologies Inc,"Poultney, Vermont",7,0,0,0,Electric Lamp Bulb and Part Manufacturing
06379WHTTK82MEC,Yardney Technical Products In C,"Pawcatuck, Connecticut",81,0,0,0,Primary Battery Manufacturing
06382STHMS141DE,Aes Thames Llc,"Uncasville, Connecticut",201,0,48,0,Fossil Fuel Electric Power Generation
06477LGHTS37ROB,Light Sources Inc,"Orange, Connecticut",114,2,0,0,Electric Lamp Bulb and Part Manufacturing
06604BRDGP1ATLA,Pseg Power Connecticut Llc Br Idgeport Harbor Station,"Bridgeport, Connecticut",1,0,1,0,Fossil Fuel Electric Power Generation
07036LNDNGWOODA,Linden Generating Station,"Linden, New Jersey",15,0,15,0,Fossil Fuel Electric Power Generation
07036XXN  1400P,Conocophillips Co - Bayway Refinery,"Linden, New Jersey",15,1,1,0,Petroleum Refineries
07064MRDHS750CL,Hess Corp - Port Reading Refinery,"Port Reading, New Jersey",2,0,0,0,Petroleum Refineries
07306HDSNGDUFFI,Pseg Power Llc Hudson Generating Station,"Jersey City, New Jersey",34,0,34,0,Fossil Fuel Electric Power Generation
07410FSHRS1REAG,Fisher Scientific Co Ll C,"Fair Lawn, New Jersey",13,0,0,0,All Other Basic Organic Chemical Manufacturing
07657BRGNGVICTO,Bergen Generating Station,"Ridgefield, New Jersey",20,0,20,0,Fossil Fuel Electric Power Generation
08014PGCRPRTE13,Logan Generating Co Lp,"Swedesboro, New Jersey",93,0,0,0,Fossil Fuel Electric Power Generation
08023DPNTCRT130,Dupont Chambers Works,"Deepwater, New Jersey",16,0,0,3,Petrochemical Manufacturing
08066JHNSN2001A,Johnson Matthey,"West Deptford, New Jersey",1,0,0,0,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
08066MBLLCBILLI,Paulsboro Refining Co Llc,"Paulsboro, New Jersey",11,0,7,3,Petroleum Refineries
08069CRNYS500SH,Chambers Cogeneration Lp,"Carneys Point, New Jersey",69,0,1,0,Fossil Fuel Electric Power Generation
08070DPWTR373NB,Deepwater Energy Center,"Pennsville, New Jersey",5,0,0,0,Fossil Fuel Electric Power Generation
08223BLNGL900NS,Bl England Generating Statio N,"Beesleys Point, New Jersey",36,0,9,0,Fossil Fuel Electric Power Generation
08611MRCRGLAMBE,Mercer Generating Station,"Hamilton, New Jersey",9,0,9,0,Fossil Fuel Electric Power Generation
08846MRSLN125FA,Veolia Es Technical Solutions Llc,"Middlesex, New Jersey",24,1,0,0,All Other Miscellaneous Chemical Product and Preparation Manufacturing
08865TLNTC183SI,Atlantic States Cast Iron Pipe Co,"Phillipsburg, New Jersey",50,0,0,0,Iron Foundries
08872NWJRSNORTH,Gerdau Ameristeel Sayreville Inc,"Sayreville, New Jersey",42,0,16,0,Iron and Steel Mills
08901SPCTR755JE,Spectrum Laboratory Products ( New Jersey),"New Brunswick, New Jersey",279,0,0,0,Other Chemical and Allied Products Merchant Wholesalers
10511GRGPC415BR,Lafarge North America,"Buchanan, New York",25,0,25,0,Gypsum Product Manufacturing
11973SDBRK53BEL,Us Doe Brookhaven National Laboratory,"Upton, New York",107,0,0,0,"Reseach and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)"
12077NGRMHRTE14,Pseg Power Ny Llc Bethlehem Energy Center,"Glenmont, New York",13,0,13,0,Fossil Fuel Electric Power Generation
12143BLCRCROUTE,Lafarge Building Materials Inc,"Ravena, New York",96,0,91,0,Cement Manufacturing
12188GNRLL260HU,Mpm Silicones Llc,"Waterford, New York",2,0,1,0,Plastics Material and Resin Manufacturing
12414NDPNDPOBOX,Holcim (Us) Inc,"Catskill, New York",22,0,22,0,Cement Manufacturing
12550DNSKM594RI,Danskammer Generating Facility,"Newburgh, New York",146,0,58,0,Fossil Fuel Electric Power Generation
12801GLNSF313LO,Lehigh Northeast Cement Co - Glens Falls Plant,"Glens Falls, New York",48,0,48,0,Cement Manufacturing
13021BRNSTQUARR,Nucor Steel Auburn Inc,"Auburn, New York",128,0,128,0,Iron and Steel Mills
13204FBRTK56IND,Syracuse Energy Corp,"Syracuse, New York",50,0,0,0,Fossil Fuel Electric Power Generation
13209SLVYP53IND,Rocktenn Solvay Llc,"Syracuse, New York",1,0,0,0,Paperboard Mills
13642ZCMNS408SY,St Lawrence Zinc Co Balmat 4 Mine & Mill,"Gouverneur, New York",1,0,0,1,Lead Ore and Zinc Ore Mining
13790SWSTV720RI,Aes Westover,"Johnson City, New York",24,0,0,0,Fossil Fuel Electric Power Generation
14012SSMRS7725L,Aes Somerset Llc,"Barker, New York",285,0,16,0,Fossil Fuel Electric Power Generation
14048NGRMH106PO,Dunkirk Steam Station,"Dunkirk, New York",166,0,25,0,Fossil Fuel Electric Power Generation
14107CWMCH1550B,Cwm Chemical Services Llc,"Model City, New York",1937,0,0,0,Hazardous Waste Treatment and Disposal
14150CRHNT3500R,Huntley Generating Station,"Tonawanda, New York",141,0,83,2,Fossil Fuel Electric Power Generation
14304CHRSR5300F,Niagara Generation Llc,"Niagara Falls, New York",4,0,0,0,Fossil Fuel Electric Power Generation
14441SGRND590PL,Aes Greenidge Llc,"Dresden, New York",29,0,1,2,Fossil Fuel Electric Power Generation
14550MRTNS45RIB,Morton Salt,"Silver Springs, New York",22,0,22,0,Spice and Extract Manufacturing
14652STMNK1669L,Eastman Kodak Co Eastman Business Park,"Rochester, New York",28,0,20,1,"Photographic Film, Paper, Plate, and Chemical Manufacturing"
14701SMLCR136ST,Samuel A Carlson Generating S Tation,"Jamestown, New York",34,0,33,0,Fossil Fuel Electric Power Generation
14810PHLPS7265R,Philips Lighting Co,"Bath, New York",281,0,0,0,Electric Lamp Bulb and Part Manufacturing
14882SCYGL228MI,Aes-Cayuga Llc,"Lansing, New York",65,0,29,1,Fossil Fuel Electric Power Generation
15001NTDST1WOOD,Us Gypsum Co,"Aliquippa, Pennsylvania",27,0,27,0,Gypsum Product Manufacturing
15024CHSWCPITTS,Cheswick Power Plant,"Springdale, Pennsylvania",157,0,91,0,Fossil Fuel Electric Power Generation
15025SSCLR400ST,Uss - Clairton Works,"Clairton, Pennsylvania",3,3,0,0,All Other Petroleum and Coal Products Manufacturing
15038LRMPWPARTE,Elrama Power Plant,"Elrama, Pennsylvania",8,0,8,0,Fossil Fuel Electric Power Generation
15061SBVRV394FR,Aes Beaver Valley Llc,"Monaca, Pennsylvania",168,0,42,0,Fossil Fuel Electric Power Generation
15061ZNCCR300FR,Horsehead Corp Monaca Smelter,"Monaca, Pennsylvania",126,0,31,0,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
15067MTCHL50ELE,Mitchell Power Station,"Courtney, Pennsylvania",92,0,41,0,Fossil Fuel Electric Power Generation
15077FRSTNOFFRT,Bruce Mansfield Power Plant,"Shippingport, Pennsylvania",1054,0,141,0,Fossil Fuel Electric Power Generation
15104SSDGRBRADD,Uss Mon Valley Works - Edgar T Homson Plant,"Braddock, Pennsylvania",5,0,0,0,Iron and Steel Mills
15225SHNNG200NE,Shenango Inc,"Pittsburgh, Pennsylvania",19,14,2,0,Iron and Steel Mills
15377BLYNL332EN,Bailey/Enlow Fork Mining Compl Ex,"West Finley, Pennsylvania",14,0,5,0,Bituminous Coal Underground Mining
15461HTFLDRD1BO,Hatfield Power Station,"Masontown, Pennsylvania",926,0,386,0,Fossil Fuel Electric Power Generation
15501PBSQC10310,Rox Coal - Quecreek Mine,"Somerset, Pennsylvania",6,0,0,0,Bituminous Coal and Lignite Surface Mining
15501RXCLR631HR,Pbs Coals Roytown Mine,"Somerset, Pennsylvania",2,0,0,0,Bituminous Coal and Lignite Surface Mining
1550WKMBRL1256V,Rox Coal - Kimberly Run Mine,"Somerset, Pennsylvania",9,0,0,0,Bituminous Coal Underground Mining
1553WCMBRP26CAL,Pbs Coals - Cambria Plant,"Berlin, Pennsylvania",51,0,0,0,Bituminous Coal and Lignite Surface Mining
1556WPBSCLFFTWP,Pbs Coals - Job 248 (Trent/Zubek Mine),"Stoystown, Pennsylvania",2,0,0,0,Bituminous Coal and Lignite Surface Mining
15698MLLSRCEMET,Max Environmental -- Yukon Fac Ility,"Yukon, Pennsylvania",53,0,0,0,Hazardous Waste Treatment and Disposal
15748MHMRC1750P,Eme Homer City Generation Lp,"Homer City, Pennsylvania",741,0,547,2,Fossil Fuel Electric Power Generation
15774KYSTNRTE21,Keystone Power Plant,"Shelocta, Pennsylvania",2769,0,62,0,Fossil Fuel Electric Power Generation
15845PNNTC100CE,Domtar - Johnsonburg Mill,"Johnsonburg, Pennsylvania",32,0,9,0,Paper (except Newsprint) Mills
15926PBSCL664CO,Pbs Coals - Shade Creek Prepar Ation Plant,"Central City, Pennsylvania",200,0,0,0,Bituminous Coal and Lignite Surface Mining
15927CLVRP141IN,Colver Power Project,"Colver, Pennsylvania",815,0,0,0,Other Electric Power Generation
1592WPBSCL1499G,Rox Coal - Agustus Mine,"Central City, Pennsylvania",7,0,0,0,Bituminous Coal Underground Mining
15931BNSBR2840N,Ebensburg Power Co,"Ebensburg, Pennsylvania",1796,0,0,0,Fossil Fuel Electric Power Generation
15931CMBRC243RU,Cambria Cogen Co,"Ebensburg, Pennsylvania",689,0,3,0,Fossil Fuel Electric Power Generation
15944CNMGHRTE20,Conemaugh Power Plant,"New Florence, Pennsylvania",2120,0,576,2,Fossil Fuel Electric Power Generation
16003RMCDVROUTE,Ak Steel--Butler Works,"Butler, Pennsylvania",69,0,48,1,Iron and Steel Mills
16023RMSTR100CL,Armstrong Cement & Supply Corp,"Cabot, Pennsylvania",12,0,12,0,Cement Manufacturing
16057MRCRL560BR,Mercer Lime & Stone Co,"Slippery Rock, Pennsylvania",3,0,3,0,Lime Manufacturing
16103FRSTN1EWAS,New Castle Power Plant,"West Pittsburg, Pennsylvania",202,0,61,0,Fossil Fuel Electric Power Generation
16117NTRNTSR488,International Metals Reclamation Co Inc Inmetco,"Ellwood City, Pennsylvania",1201,0,1200,0,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum)
16136BBCCKMOUNT,Ipsco Koppel Tubulars Corp,"Koppel, Pennsylvania",27,0,0,0,Iron and Steel Mills
16201RMSTRRD1ST,Allegheny Energy Inc Armstrong Power Station,"Kittanning, Pennsylvania",474,0,313,0,Fossil Fuel Electric Power Generation
16214PNYCRRR2BO,Piney Creek Lp,"Clarion, Pennsylvania",112,0,1,0,Fossil Fuel Electric Power Generation
16365NTDRFPOBOX,United Refining Co,"Warren, Pennsylvania",179,0,0,0,Petroleum Refineries
16374SCRBGRR1LI,Scrubgrass Generating Plant,"Kennerdell, Pennsylvania",869,0,6,0,Fossil Fuel Electric Power Generation
16673PPLTN100PA,Appleton Papers Inc,"Roaring Spring, Pennsylvania",2,0,2,0,Paper (except Newsprint) Mills
16686WSTVC1600P,American Eagle Paper Mills,"Tyrone, Pennsylvania",16,0,14,0,Uncoated Paper and Multiwall Bag Manufacturing
16701KNDLL77NKE,American Refining Group Inc,"Bradford, Pennsylvania",4,0,3,0,Petroleum Refineries
16749QKRSTINTER,International Waxes Inc,"Smethport, Pennsylvania",17,0,13,0,All Other Petroleum and Coal Products Manufacturing
16823GRYBC710OL,Graymont (Pa) Inc,"Pleasant Gap, Pennsylvania",9,0,9,0,Lime Manufacturing
16873SHWVLRTE97,Shawville Station,"Shawville, Pennsylvania",1315,0,702,0,Fossil Fuel Electric Power Generation
17003PNNSY422SC,Carmeuse Lime Inc,"Annville, Pennsylvania",4,0,4,0,Lime Manufacturing
17113BTHLHFRONT,Arcelormittal Steelton Llc,"Steelton, Pennsylvania",81,1,80,0,Iron and Steel Mills
17362PHGLT228SO,P H Glatfelter Co - Spring Grove Mill,"Spring Grove, Pennsylvania",242,0,79,0,Paper (except Newsprint) Mills
17370BRNNRWAGOR,Brunner Island Steam Electric Station,"York Haven, Pennsylvania",309,0,303,0,Fossil Fuel Electric Power Generation
17404JBKRC320NO,Magnesita Refractories,"York, Pennsylvania",40,0,40,0,Nonclay Refractory Manufacturing
17821MNTRS18MCM,Montour Steam Electric Station,"Danville, Pennsylvania",277,0,277,0,Fossil Fuel Electric Power Generation
1782WNTDST6PPLR,Us Gypsum Co,"Danville, Pennsylvania",66,0,65,0,Gypsum Product Manufacturing
17832FSTRWMARIO,Mount Carmel Cogen Facility,"Marion Heights, Pennsylvania",162,0,1,0,Fossil Fuel Electric Power Generation
17876SNBRYOLDSU,Sunbury Generation Lp,"Shamokin Dam, Pennsylvania",364,0,89,0,Fossil Fuel Electric Power Generation
17931GLBRT50ELE,Gilberton Power Co,"Frackville, Pennsylvania",144,0,1,0,Fossil Fuel Electric Power Generation
17931WHLBRMOREA,Wheelabrator Frackville Energy Co Inc,"Frackville, Pennsylvania",170,0,17,0,Fossil Fuel Electric Power Generation
17976STNCHHWY54,Saint Nicholas Cogeneration Project,"Shenandoah, Pennsylvania",492,0,25,0,Fossil Fuel Electric Power Generation
18014KYSTNRT329,Keystone Cement Co,"Bath, Pennsylvania",14,0,14,0,Cement Manufacturing
18020SPRRQ271BA,Superior Quartz Products Inc,"Bethlehem, Pennsylvania",2,0,0,0,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
18052LFRGC5160M,Lafarge Na Whitehall Plant,"Whitehall, Pennsylvania",20,0,20,0,Cement Manufacturing
18055BTHLH890FR,Bethlehem Apparatus Co Inc,"Hellertown, Pennsylvania",1929,1,1,0,All Other Basic Inorganic Chemical Manufacturing
18064CPLYCEASTO,Essroc Cement Corp,"Nazareth, Pennsylvania",153,0,153,0,Cement Manufacturing
18064HPRCH731EN,Portland Power Plant,"Mount Bethel, Pennsylvania",286,0,132,0,Fossil Fuel Electric Power Generation
18067NRTHM1HORW,Northampton Generating Plant,"Northampton, Pennsylvania",60,0,1,0,Fossil Fuel Electric Power Generation
18071HRSHDDELAW,Horsehead Corp,"Palmerton, Pennsylvania",240,0,240,0,All Other Basic Inorganic Chemical Manufacturing
18083HRCLS501CE,Buzzi Unicem Stockertown Plant,"Stockertown, Pennsylvania",6,0,6,0,Cement Manufacturing
18103DVNCD2591M,Aerccom Inc,"Allentown, Pennsylvania",358,0,0,0,All Other Basic Inorganic Chemical Manufacturing
18237NRTHSRTE30,Northeastern Power Co,"Mc Adoo, Pennsylvania",501,0,0,0,Fossil Fuel Electric Power Generation
18240PNTHRRTE54,Panther Creek Partners,"Nesquehoning, Pennsylvania",437,0,0,0,Fossil Fuel Electric Power Generation
18370CNNGHRT611,Sanofi Pasteur Inc,"Swiftwater, Pennsylvania",15,0,2,0,Pharmaceutical Preparation Manufacturing
18621GTLTSUSRTE,Ugi Development Co Hunlock Creek Energy Center,"Hunlock Creek, Pennsylvania",32,0,32,0,Fossil Fuel Electric Power Generation
19013SCTTPFRONT,Kimberly-Clark Pennsylvania L Lc,"Chester, Pennsylvania",4,0,4,0,Paper (except Newsprint) Mills
19022DDYSTNO1IN,Eddystone Generating Station,"Eddystone, Pennsylvania",80,0,66,1,Fossil Fuel Electric Power Generation
19061BPLCMPOSTR,Conocophillips Co - Trainer Refinery,"Trainer, Pennsylvania",12,0,12,0,Petroleum Refineries
19061SNRFNGREEN,Sunoco Inc (R&M) - Marcus Hook Refinery,"Marcus Hook, Pennsylvania",38,0,20,0,Petroleum Refineries
19145TLNTC3144P,Sunoco Inc (R&M)  Philadelphia Refinery,"Philadelphia, Pennsylvania",7,0,5,0,Petroleum Refineries
19320LKNSSMODEN,Arcelormittal Plate Llc Coatesville Facility,"Coatesville, Pennsylvania",88,3,85,0,Iron and Steel Mills
19460CRMBYTOWNA,Exelon Corp Cromby Generating Station,"Phoenixville, Pennsylvania",30,0,16,0,Fossil Fuel Electric Power Generation
19508TTSST296PO,Titus Power Plant,"Birdsboro, Pennsylvania",29,0,22,0,Fossil Fuel Electric Power Generation
19510LLNTWFOOTO,Lehigh Cement Co - Evansville,"Fleetwood, Pennsylvania",51,0,51,0,Cement Manufacturing
19536STPNNDEKAR,East Penn Manufacturing Co Inc,"Lyon Station, Pennsylvania",9,0,7,0,Primary Battery Manufacturing
19703CTSTL4001P,Evraz Claymont Steel,"Claymont, Delaware",62,0,59,0,Iron and Steel Mills
19706CCDNTRIVER,Occidental Chemical Corp,"New Castle, Delaware",61,0,0,0,Alkalies and Chlorine Manufacturing
19809DGMRH200HA,Edge Moor/Hay Road Energy Centers,"Wilmington, Delaware",71,0,11,0,Fossil Fuel Electric Power Generation
19904FRSTS1280W,Nrg Energy Center-Dover,"Dover, Delaware",9,0,7,0,Fossil Fuel Electric Power Generation
19966NDNRVRTE33,Indian River Generating Station,"Dagsboro, Delaware",110,0,90,0,Fossil Fuel Electric Power Generation
19966NTRVT405ST,Intervet Inc,"Millsboro, Delaware",2,0,0,0,Biological Product (except Diagnostic) Manufacturing
20138CHMTR4295C,Chemetrics Inc,"Calverton, Virginia",17,0,0,0,All Other Miscellaneous Chemical Product and Preparation Manufacturing
20608CHLKP25100,Chalk Point Generating Station,"Aquasco, Maryland",467,0,20,0,Fossil Fuel Electric Power Generation
20640SDDND101ST,Us Navy  Naval Support Facility Indian Head,"Indian Head, Maryland",5,0,0,0,National Security
20664MRGNT12620,Morgantown Generating Station,"Newburg, Maryland",678,0,19,0,Fossil Fuel Electric Power Generation
20842DCKRS21200,Genon Mid Atlantic Llc Dickerson Generating Station,"Dickerson, Maryland",432,0,12,0,Fossil Fuel Electric Power Generation
21219BTHLHDUALH,Rg Steel Sparrows Point Llc,"Baltimore, Maryland",2,0,2,0,Iron and Steel Mills
21220CPCRN1001C,Cp Crane Generating Station,"Baltimore, Maryland",53,0,12,0,Fossil Fuel Electric Power Generation
21226BRNDN1000B,Brandon Shores & Wagner Complex,"Baltimore, Maryland",331,0,80,1,Fossil Fuel Electric Power Generation
21502SWRRR11600,Aes Warrior Run Inc,"Cumberland, Maryland",621,0,0,0,Fossil Fuel Electric Power Generation
21521VNDXNPTMAC,Vindex Energy Corp Jack Son Mountain Mine,"Barton, Maryland",343,0,0,0,Bituminous Coal and Lignite Surface Mining
21532VNDXNMIDLT,Vindex Energy Corp Carlos Mine,"Frostburg, Maryland",266,0,0,0,Bituminous Coal and Lignite Surface Mining
21540WSTVC300PR,Luke Paper Co,"Luke, Maryland",404,0,398,0,Paper (except Newsprint) Mills
21550MTTKC293TA,Mettiki Coal Llc,"Oakland, Maryland",1395,0,2,0,Bituminous Coal Underground Mining
21702SRMYF81SCH,Us Army Fort Detrick,"Fort Detrick, Maryland",11,0,11,0,National Security
21740NDPNDSECUR,Holcim (Us) Inc,"Hagerstown, Maryland",28,0,28,0,Cement Manufacturing
21791LHGHP117SO,Lehigh Cement Co Llc,"Union Bridge, Maryland",294,0,294,0,Cement Manufacturing
21795RPLSM15952,Allegheny Energy Inc R Paul Smith Power Station,"Williamsport, Maryland",80,0,11,1,Fossil Fuel Electric Power Generation
22314PTMCR1400N,Genon Potomac River Generating Station,"Alexandria, Virginia",46,0,28,0,Fossil Fuel Electric Power Generation
22547BRCHW10900,Birchwood Power Facility,"King George, Virginia",31,0,0,0,Fossil Fuel Electric Power Generation
22624GLBLSONEQU,O-N Minerals (Chemstone) Winchester Lime Plant,"Clear Brook, Virginia",13,0,0,0,Lime Manufacturing
22657GLBLS1696O,O-N Minerals (Chemstone) Strasburg Lime Plant,"Strasburg, Virginia",6,0,3,0,Lime Manufacturing
23022BRMPWRTE65,Dominion Resources Inc Bremo Power Station,"Bremo Bluff, Virginia",121,0,107,1,Fossil Fuel Electric Power Generation
23181CHSPK19THM,Smurfit-Stone Container Enterprises Inc,"West Point, Virginia",80,0,68,0,Pulp Mills
23234CGNTR5001C,Spruance Genco Llc,"Richmond, Virginia",131,0,25,0,Fossil Fuel Electric Power Generation
23323CHSPK2701V,Chesapeake Energy Center,"Chesapeake, Virginia",160,0,140,0,Fossil Fuel Electric Power Generation
23692MCLCM2201G,Yorktown Refinery,"Grafton, Virginia",33,0,20,1,Petroleum Refineries
23692YRKTW1600W,Dominion Resources Inc Yorktown Power Station,"Yorktown, Virginia",343,0,80,215,Fossil Fuel Electric Power Generation
23703CGNTR1WILD,Cogentrix Virginia Leasing Corp,"Portsmouth, Virginia",51,0,1,0,Fossil Fuel Electric Power Generation
23803CHPRR25801,Chaparral (Va) Inc,"Petersburg, Virginia",45,0,45,0,Iron and Steel Mills
23836CHSTR500CO,Chesterfield Power Station,"Chester, Virginia",523,0,160,3,Fossil Fuel Electric Power Generation
23851LGWST30134,Southampton Power Station,"Franklin, Virginia",18,0,1,0,Fossil Fuel Electric Power Generation
23851NNCMPHIGHW,International Paper Franklin Mill,"Franklin, Virginia",9,0,2,0,Paper (except Newsprint) Mills
23860JMSRV912ER,James River Cogeneration Co Inc,"Hopewell, Virginia",40,0,12,1,Fossil Fuel Electric Power Generation
23860LGWST107TE,Hopewell Power Station,"Hopewell, Virginia",14,0,0,0,Hydroelectric Power Generation
23860STNHP910IN,Rocktenn Cp Llc,"Hopewell, Virginia",39,0,3,0,Pulp Mills
23927MCKLN204CO,Mecklenburg Power Station,"Clarksville, Virginia",50,0,1,0,Fossil Fuel Electric Power Generation
24017RNKLC102WE,Steel Dynamics Inc Roanoke Bar Div,"Roanoke, Virginia",21,0,0,0,Iron and Steel Mills
24093GLNLYRTE46,American Electric Power Glen Lyn Plant,"Glen Lyn, Virginia",19,0,9,0,Fossil Fuel Electric Power Generation
24124CNRGY352VI,Degs Of Narrows Llc,"Narrows, Virginia",43,0,32,0,Fossil Fuel Electric Power Generation
24141SDDSRPOBOX,Us Army Radford Army Ammunition Plant,"Radford, Virginia",107,0,8,0,National Security
24150CHMCL2093B,Chemical Lime Co Of Virginia Inc Kimballton Area,"Ripplemead, Virginia",11,0,5,0,Lime Manufacturing
24175RNKCM5555C,Roanoke Cement Co Llc,"Troutville, Virginia",30,0,30,0,Cement Manufacturing
24225MRCNLJUNCT,American Electric Power Clinch River Plant,"Cleveland, Virginia",116,0,61,0,Fossil Fuel Electric Power Generation
24426WSTVCRIVER,Meadwestvaco Of Virginia Covington Operations,"Covington, Virginia",94,0,29,0,"Paperboard Mills, All Other Miscellaneous Chemical Product and Preparation Manufacturing"
24505GRFFNADAMS,Griffin Pipe Products Co,"Lynchburg, Virginia",13,0,1,0,Iron Foundries
24517LGWST104WO,Altavista Power Station,"Altavista, Virginia",13,0,1,0,Fossil Fuel Electric Power Generation
24526NKSPCHIGHW,Georgia-Pacific Big Island Mill,"Big Island, Virginia",9,0,4,2,Paperboard Mills
24534CLVRPRTE92,Dominion Clover Power Station,"Clover, Virginia",479,0,2,1,Fossil Fuel Electric Power Generation
24656JWLLCHWY46,Jewell Coke Co Lp,"Vansant, Virginia",107,0,107,0,Iron and Steel Mills
24874SSTLMPINNA,Pinnacle Mining Co Llc  - Pinnacle Mine,"Pineville, West Virginia",280,0,0,0,Bituminous Coal Underground Mining
25002LKMMTBOX61,Wv Alloys Inc,"Alloy, West Virginia",10,1,10,0,Electrometallurgical Ferroalloy Product Manufacturing
25086MRCNLRTE60,American Electric Power Kanawha River Plant,"Glasgow, West Virginia",92,0,52,0,Fossil Fuel Electric Power Generation
25112RHNPLROUTE,Bayer Cropscience Lp,"Institute, West Virginia",29,0,25,0,Pesticide and Other Agricultural Chemical Manufacturing
25213JHNMS1530W,American Electric Power Amos Plant,"Winfield, West Virginia",1439,0,585,1,Fossil Fuel Electric Power Generation
25265FLMNPUSRT6,Felman Production Inc,"New Haven, West Virginia",3,0,0,0,Electrometallurgical Ferroalloy Product Manufacturing
25265MNTNRRTE33,American Electric Power Mountaineer Plant,"New Haven, West Virginia",796,0,312,0,Fossil Fuel Electric Power Generation
25265MRCNLSTATE,American Electric Power Philip Sporn Plant,"New Haven, West Virginia",241,0,140,0,Fossil Fuel Electric Power Generation
25401CPTLCSOUTH,Capitol Cement Corp,"Martinsburg, West Virginia",204,0,204,0,Cement Manufacturing
25703STLFW17THS,Swva Inc,"Huntington, West Virginia",14,5,7,0,Iron and Steel Mills
25720NCLLYRIVER,Huntington Alloys Corp,"Huntington, West Virginia",1,0,0,0,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
26037WHLNGROUTE,Mountain State Carbon Llc  Follansbee Plant,"Follansbee, West Virginia",1,0,0,1,Iron and Steel Mills
